"CMTE_ID","CMTE_NM","TRES_NM","CMTE_ST1","CMTE_ST2","CMTE_CITY","CMTE_ST","CMTE_ZIP","CMTE_DSGN","CMTE_TP","CMTE_PTY_AFFILIATION","CMTE_FILING_FREQ","ORG_TP","CONNECTED_ORG_NM","CAND_ID","robin_id","display_name","group","type","id","dataset","dataset_id"
"C00001180","MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY","GHOSE, AMIT MD","P.O. BOX 769","","EAST LANSING","MI","48826","U","Q","NNE","Q","T","MICHIGAN STATE MEDICAL SOCIETY","","1583200173249568819","MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY","NNE","Committee","C00001180","fec","C00001180"
"C00001198","AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC')","MASON, DAVID M.","1250 EYE STREET, NW #1100","","WASHINGTON","DC","200055904","B","Q","","M","T","","","1583200173250685203","AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC')","","Committee","C00001198","fec","C00001198"
"C00001214","TEXAS MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","MOJEZATI, CHRISTINE MS.","401 WEST 15TH STREET","","AUSTIN","TX","78701","B","Q","NNE","Q","T","AMPAC","","1583200173250783526","TEXAS MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","NNE","Committee","C00001214","fec","C00001214"
"C00001305","REPUBLICAN PARTY OF VIRGINIA INC","SELPH, JOHN G MR.","115 EAST GRACE STREET","","RICHMOND","VA","232191741","U","Y","REP","M","","RIGGLEMAN VICTORY FUND","","1583200173250259332","REPUBLICAN PARTY OF VIRGINIA INC","REP","Committee","C00001305","fec","C00001305"
"C00001313","REPUBLICAN PARTY OF MINNESOTA - FEDERAL","SCHERER, BRON","7400 METRO BLVD","STE 424","MINNEAPOLIS","MN","554392374","U","Y","REP","M","","NONE","","1583200173250242900","REPUBLICAN PARTY OF MINNESOTA - FEDERAL","REP","Committee","C00001313","fec","C00001313"
"C00001388","DAIRY FARMERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE; AKA DFA-PAC","KLIPPENSTEIN, JACKIE","1405 N. 98TH STREET","","KANSAS CITY","KS","66111","B","Q","","M","V","DAIRY FARMERS OF AMERICA, INC.","","1583200173251238102","DAIRY FARMERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE; AKA DFA-PAC","","Committee","C00001388","fec","C00001388"
"C00001461","ALASKA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (ALPAC)","HAUGEN, MIKE MR.","4107 LAUREL STREET","","ANCHORAGE","AK","99508","U","Q","NAT","Q","M","ALASKA STATE MEDICAL ASSOCIATION","","1583200173251252070","ALASKA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (ALPAC)","NAT","Committee","C00001461","fec","C00001461"
"C00001636","SMART TD PAC","LEONARD, BRENT C.","24950 COUNTRY CLUB BLVD,  STE 340","","NORTH OLMSTED","OH","44070","B","Q","","M","L","SMART TD","","1583200173251198716","SMART TD PAC","","Committee","C00001636","fec","C00001636"
"C00001727","BUSINESS-INDUSTRY POLITICAL ACTION COMMITTEE","JOHN E. PALLAT III","1707 L STREET, NW","","WASHINGTON","DC","20036","U","W","UNK","M","","","","1583200173251465161","BUSINESS-INDUSTRY POLITICAL ACTION COMMITTEE","UNK","Committee","C00001727","fec","C00001727"
"C00001743","LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND","AGOSTA, FRANK","70 20TH STREET","","BROOKLYN","NY","11232","U","Q","","Q","L","LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND","","1583200173251617942","LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND","","Committee","C00001743","fec","C00001743"
"C00001917","WY DEMOCRATIC STATE CENTRAL COMMITTEE","DOCKTER, JEFFREY","PO BOX 1972","","CHEYENNE","WY","82003","U","Y","DEM","M","","DOLLARS FOR DEMOCRATS","","1583200173252964226","WY DEMOCRATIC STATE CENTRAL COMMITTEE","DEM","Committee","C00001917","fec","C00001917"
"C00002089","COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE","STEFFENS, SARA","501 THIRD STREET, NW","","WASHINGTON","DC","20001","B","Q","","M","L","COMMUNICATIONS WORKERS OF AMERICA","","1583200173252896916","COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE","","Committee","C00002089","fec","C00002089"
"C00002238","NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC","KELSEY S. BILLINGS","50 F STREET NW","SUITE 900","WASHINGTON","DC","20001","U","Q","","M","T","","","1583200173252142116","NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC","","Committee","C00002238","fec","C00002238"
"C00002261","FEDERATION OF AMERICAN HOSPITALS PAC","EVANGELISTA, LEAH ANN MRS.","750 9TH STREET NW","SUITE 600","WASHINGTON","DC","20001","B","Q","UNK","M","T","FEDERATION OF AMERICAN HOSPITALS","","1583200173252481087","FEDERATION OF AMERICAN HOSPITALS PAC","UNK","Committee","C00002261","fec","C00002261"
"C00002469","MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS","CERVANTES, DORA MS.","9000 MACHINISTS PLACE","","UPPER MARLBORO","MD","20772","B","Q","NNE","M","L","INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS","","1583200173253636775","MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS","NNE","Committee","C00002469","fec","C00002469"
"C00002592","COMMITTEE TO REELECT TOM FOLEY","HEATHER S FOLEY","1253 C ST SE","","WASHINGTON","DC","200032202","P","H","DEM","Q","","","H6WA05023","1583200173253756615","COMMITTEE TO REELECT TOM FOLEY","DEM","Committee","C00002592","fec","C00002592"
"C00002766","UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB","BARCLAY, SHAUN","1775 K STREET, NW","","WASHINGTON","DC","20006","B","Q","UNK","M","L","UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION","","1583200173254577676","UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB","UNK","Committee","C00002766","fec","C00002766"
"C00002790","OLIN CORPORATION GOOD GOVERNMENT FUND","SLATER, TODD A MR.","190 CARONDELET PLAZA","SUITE 1530","CLAYTON","MO","63105","U","Q","UNK","Q","C","OLIN CORPORATION","","1583200173254447043","OLIN CORPORATION GOOD GOVERNMENT FUND","UNK","Committee","C00002790","fec","C00002790"
"C00002832","COMMITTEE FOR GOOD GOVERNMENT INTERNATIONAL UNION UAW","CURRY, RAYMOND","8000 EAST JEFFERSON AVENUE","","DETROIT","MI","48214","B","Q","","Q","L","INTERNATIONAL UNION, UAW","","1583200173254287159","COMMITTEE FOR GOOD GOVERNMENT INTERNATIONAL UNION UAW","","Committee","C00002832","fec","C00002832"
"C00002840","UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)","CURRY, RAYMOND","8000 EAST JEFFERSON",".","DETROIT","MI","48214","B","Q","UNK","Q","L","INT'L UNION UNITED AUTOMOBILE AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA UAW","","1583200173255429430","UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)","UNK","Committee","C00002840","fec","C00002840"
"C00002881","TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.","KIELY, MICHAEL MR.","430 FIRST STREET SE","","WASHINGTON","DC","200031826","B","Q","UNK","M","T","AMERICAN TRUCKING ASSOCIATIONS INC.","","1583200173255101040","TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.","UNK","Committee","C00002881","fec","C00002881"
"C00002907","ARKANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE","LYDA F LANE MD","PO BOX 55088",".","LITTLE ROCK","AR","72215","U","Q","UNK","Q","T","","","1583200173255497861","ARKANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE","UNK","Committee","C00002907","fec","C00002907"
"C00002972","THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE)","SNOW, GABE","4301 WILSON BOULEVARD","","ARLINGTON","VA","222031860","B","Q","","M","T","VALLEY ELECTRIC ASSOCIATION INC., PAC","","1583200173255713052","THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE)","","Committee","C00002972","fec","C00002972"
"C00003061","NORTH DAKOTA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","THOMAS I STRINDEN MD","1622 E INTERSTATE AVE","","BISMARCK","ND","585030512","U","Q","UNK","Q","M","","","1583200173256524866","NORTH DAKOTA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","UNK","Committee","C00003061","fec","C00003061"
"C00003111","MAINE REPUBLICAN PARTY","LOMBARD, BEN","9 HIGGINS STREET","","AUGUSTA","ME","04330","U","Y","REP","M","","COLLINS MAINE 2020","","1583200173256872323","MAINE REPUBLICAN PARTY","REP","Committee","C00003111","fec","C00003111"
"C00003152","NORTH CAROLINA MEDICAL SOCIETY FEDERAL POLITICAL EDUCATION AND ACTION COMMITTEE","HAYES, E. REBECCA","PO BOX 25834","222 N. PERSON STREET","RALEIGH","NC","27611","U","Q","","Q","M","NORTH CAROLINA MEDICAL SOCIETY","","1583200173256903147","NORTH CAROLINA MEDICAL SOCIETY FEDERAL POLITICAL EDUCATION AND ACTION COMMITTEE","","Committee","C00003152","fec","C00003152"
"C00003160","NORTH AMERICA'S BUILDING TRADES UNIONS POLITICAL EDUCATIONAL FUND","BOOKER, BRENT","815 16TH ST., NW, SUITE 600","","WASHINGTON","DC","20006","U","Q","UNK","M","L","NORTH AMERICA'S BUILDING TRADES UNIONS","","158320017325691975","NORTH AMERICA'S BUILDING TRADES UNIONS POLITICAL EDUCATIONAL FUND","UNK","Committee","C00003160","fec","C00003160"
"C00003194","CALIFORNIA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE - FEDERAL","NANAVATI, MD, VIMAL","555 CAPITOL MALL, SUITE 400","","SACRAMENTO","CA","95814","U","Q","UNK","Q","M","AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","","1583200173256640606","CALIFORNIA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE - FEDERAL","UNK","Committee","C00003194","fec","C00003194"
"C00003210","UTAH MEDICAL POLITICAL ACTION COMMITTEE","MCOMBER, MICHELLE","310 EAST 4500 SOUTH","SUITE 500","SALT LAKE CITY,","UT","841074250","U","Q","","Q","T","AMERICAN MEDICAL POLITICAL ACTION COMMITTEE","","1583200173256576779","UTAH MEDICAL POLITICAL ACTION COMMITTEE","","Committee","C00003210","fec","C00003210"
"C00003251","NEA FUND FOR CHILDREN AND PUBLIC EDUCATION","MICHAEL MCPHERSON","1201 16TH STREET NW STE 418","","WASHINGTON","DC","20036","B","Q","UNK","M","L","","","1583200173257557112","NEA FUND FOR CHILDREN AND PUBLIC EDUCATION","UNK","Committee","C00003251","fec","C00003251"
"C00003418","REPUBLICAN NATIONAL COMMITTEE","KAUFMAN, RONALD C MR","310 FIRST STREET SE","","WASHINGTON","DC","20003","U","Y","REP","M","","COLORADO TRUMP VICTORY","","1583200173257786342","REPUBLICAN NATIONAL COMMITTEE","REP","Committee","C00003418","fec","C00003418"
"C00003558","NATIONAL COMMITTEE FOR AN EFFECTIVE CONGRESS","FRAHER, BRIAN","330 PENNSYLVANIA AVE SE","SUITE 200","WASHINGTON","DC","20003","U","Q","NNE","Q","M","","","1583200173257225906","NATIONAL COMMITTEE FOR AN EFFECTIVE CONGRESS","NNE","Committee","C00003558","fec","C00003558"
"C00003590","UNITED STEELWORKERS POLITICAL ACTION FUND","SHINN, JOHN E","60 BOULEVARD OF THE ALLIES","","PITTSBURGH","PA","152221214","B","Q","NNE","M","L","USW WORKS","","1583200173257914630","UNITED STEELWORKERS POLITICAL ACTION FUND","NNE","Committee","C00003590","fec","C00003590"
"C00003632","INT'L UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS","ARNOLD, ROBERT E.","620 F ST., NW","SUITE 900","WASHINGTON","DC","20004","B","Q","UNK","M","L","INT'L UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS","","1583200173257525231","INT'L UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS","UNK","Committee","C00003632","fec","C00003632"
"C00003764","NATIONAL RESTAURANT ASSOCIATION PAC (RESTAURANT PAC)","ROEHL, DAN","2055 L STREET, NW","","WASHINGTON","DC","20036","B","Q","UNK","M","M","NATIONAL RESTAURANT ASSOCIATION","","1583200173257804825","NATIONAL RESTAURANT ASSOCIATION PAC (RESTAURANT PAC)","UNK","Committee","C00003764","fec","C00003764"
"C00003806","AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE","SHULER, ELIZABETH H","815 16TH STREET, NW","","WASHINGTON","DC","20006","B","Q","UNK","Q","L","AFL-CIO","","1583200173257919338","AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE","UNK","Committee","C00003806","fec","C00003806"
"C00003855","NATIONAL CONFECTIONERS ASSOCIATION OF THE UNITED STATES, INC. POLITICAL ACTION COMMITTEE (CANDY PAC)","THOMPSON, TRACY","1101 30TH STREET NW, SUITE 200","","WASHINGTON","DC","20007","B","Q","","M","T","NATIONAL CONFECTIONERS ASSOCIATION","","1583200173258330500","NATIONAL CONFECTIONERS ASSOCIATION OF THE UNITED STATES, INC. POLITICAL ACTION COMMITTEE (CANDY PAC)","","Committee","C00003855","fec","C00003855"
"C00003863","DISTRICT NO. 1-PCD, MARINE ENGINEERS' BENEFICIAL ASSOCIATION - RETIREES' GROUP FUND (MEBA-","BILL VAN LOO","444 NORTH CAPITOL STREET NW","SUITE 800","WASHINGTON","DC","200011570","B","Q","UNK","M","L","","","1583200173258187456","DISTRICT NO. 1-PCD, MARINE ENGINEERS' BENEFICIAL ASSOCIATION - RETIREES' GROUP FUND (MEBA-","UNK","Committee","C00003863","fec","C00003863"
"C00003897","6TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE OF VIRGINIA","DOROTHY BLACKWELL","502 TAYLOR ST","","LEXINGTON","VA","24450","U","Y","DEM","Q","","","","1583200173258624147","6TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE OF VIRGINIA","DEM","Committee","C00003897","fec","C00003897"
"C00003970","IOWA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE","DOOLEY, JOHN B","515 E LOCUST STREET","SUITE 400","DES MOINES","IA","50309","U","Q","","Q","M","IOWA MEDICAL SOCIETY","","1583200173258787029","IOWA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE","","Committee","C00003970","fec","C00003970"
"C00003988","NEBRASKA DEMOCRATIC PARTY","KESSLER, TED","3701 O STREET, SUITE 200","","LINCOLN","NE","68510","U","Y","DEM","M","","","","1583200173258512174","NEBRASKA DEMOCRATIC PARTY","DEM","Committee","C00003988","fec","C00003988"
"C00004036","SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)","HUDSON, GERALD","1800 MASSACHUSETTS AVE NW","","WASHINGTON","DC","20036","B","Q","","M","L","SERVICE EMPLOYEES INTERNATIONAL UNION","","1583200173258489343","SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)","","Committee","C00004036","fec","C00004036"
"C00004101","NATIONAL UTILITY CONTRACTORS ASSOCIATION LEGISLATIVE INFORMATION AND ACTION COMMITTEE","BARRETT, CHRIS","3925 CHAIN BRIDGE ROAD","SUITE 300","FAIRFAX","VA","22030","B","Q","UNK","Q","T","NATIONAL UTILITY CONTRACTORS ASSOCIATION","","1583200173259182624","NATIONAL UTILITY CONTRACTORS ASSOCIATION LEGISLATIVE INFORMATION AND ACTION COMMITTEE","UNK","Committee","C00004101","fec","C00004101"
"C00004275","AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)","BROWN, MATTHEW J MR.","1120 CONNECTICUT AVENUE NW","SUITE 600","WASHINGTON","DC","200363971","B","Q","NNE","M","T","ARKANSAS BANKERS ASSOCIATION PAC INC.","","1583200173259526663","AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)","NNE","Committee","C00004275","fec","C00004275"
"C00004325","SEAFARERS POLITICAL ACTIVITY DONATION - SEAFARERS INTERNATIONAL UNION OF NA-AGLIW","HEINDEL, D. CHELSEA","5201 AUTH WAY","","CAMP SPRINGS","MD","20746","U","Q","","M","L","SEAFARERS INTERNATIONAL UNION OF NA-AGLIW","","1583200173259714400","SEAFARERS POLITICAL ACTIVITY DONATION - SEAFARERS INTERNATIONAL UNION OF NA-AGLIW","","Committee","C00004325","fec","C00004325"
"C00004440","TEAMSTERS LOCAL 745 DRIVE","TAYLOR, BRENT","1007 JONELLE ST","","DALLAS","TX","75217","U","Q","","Q","L","TEAMSTERS LOCAL NO. 745","","1583200173259853092","TEAMSTERS LOCAL 745 DRIVE","","Committee","C00004440","fec","C00004440"
"C00004473","NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC","VIANDS, MICHAEL","4121 WILSON BLVD.","10TH FLOOR","ARLINGTON","VA","22203","B","Q","","M","T","NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION","","1583200173259962500","NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC","","Committee","C00004473","fec","C00004473"
"C00004606","KANSAS REPUBLICAN PARTY","DOOL, BOB","PO BOX 4157","","TOPEKA","KS","666040157","U","Y","REP","M","","YODER KANSAS VICTORY FUND","","1583200173259568443","KANSAS REPUBLICAN PARTY","REP","Committee","C00004606","fec","C00004606"
"C00004812","MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC)","KILLMER, WILLIAM MR.","1919 M STREET, NW","5TH FLOOR","WASHINGTON","DC","20036","B","Q","UNK","M","T","MORTGAGE BANKERS ASSOCIATION","","1583200173259276514","MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC)","UNK","Committee","C00004812","fec","C00004812"
"C00004861","UNITE HERE TIP CAMPAIGN COMMITTEE","BARNES, TIMOTHY","275 7TH AVENUE 16TH FLOOR","","NEW YORK","NY","10001","B","Q","","M","L","UNITE HERE","","1583200173260481614","UNITE HERE TIP CAMPAIGN COMMITTEE","","Committee","C00004861","fec","C00004861"
"C00004879","AMERICAN BUS ASSOCIATION POLITICAL ACTION COMMITTEE","ERIC BRAENDEL","111 K STREET NE","9TH FLOOR","WASHINGTON","DC","20002","B","Q","UNK","M","T","","","1583200173260504127","AMERICAN BUS ASSOCIATION POLITICAL ACTION COMMITTEE","UNK","Committee","C00004879","fec","C00004879"
"C00004911","ALABAMA MEDICAL PAC CONNECTED WITH THE MEDICAL ASSOCIATION OF THE STATE OF ALABAMA","WHITAKER, RICHARD MR. ","PO BOX 22","","MONTGOMERY","AL","36101","U","Q","UNK","Q","M","MEDICAL ASSOCIATION OF THE STATE OF ALABAMA","","1583200173260904151","ALABAMA MEDICAL PAC CONNECTED WITH THE MEDICAL ASSOCIATION OF THE STATE OF ALABAMA","UNK","Committee","C00004911","fec","C00004911"
"C00004929","PENNSYLVANIA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE FEDERAL","MINNIER, JANET","PO BOX 8820","","HARRISBURG","PA","17105","U","Q","UNK","Q","T","AMERICAN MEDICAL POLITICAL ACTION COMMITTEE","","1583200173260755974","PENNSYLVANIA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE FEDERAL","UNK","Committee","C00004929","fec","C00004929"
"C00004952","ELECTRIC COOPERATIVES OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION","CALLAHAN, MICHAEL - MR.","POST OFFICE BOX 3300","","RIDGELAND","MS","39158","U","Q","UNK","Q","C","ELECTRIC COOPERATIVES OF MISSISSIPPI","","1583200173261222014","ELECTRIC COOPERATIVES OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION","UNK","Committee","C00004952","fec","C00004952"
"C00004994","PROFESSIONAL INSURANCE AGENTS POLITICAL ACTION COMMITTEE (PIAPAC)","BECKER, MIKE MR.","419 N LEE ST","","ALEXANDRIA","VA","22314","B","Q","NNE","M","T","NATIONAL ASSOCIATION OF PROFESSIONAL INSURANCE AGENTS","","1583200173261997614","PROFESSIONAL INSURANCE AGENTS POLITICAL ACTION COMMITTEE (PIAPAC)","NNE","Committee","C00004994","fec","C00004994"
"C00005132","SOUTH DAKOTA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (SDSMAPAC)","SMITH, BARB MRS.","2600 W. 49TH ST.","STE. 200","SIOUX FALLS","SD","57105","U","Q","UNK","Q","M","SOUTH DAKOTA STATE MEDICAL ASSOCIATION","","1583200173261234538","SOUTH DAKOTA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (SDSMAPAC)","UNK","Committee","C00005132","fec","C00005132"
"C00005157","INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND","CREEDEN, WILLIAM T","753 STATE AVE. SUITE 565","","KANSAS CITY","KS","66101","B","Q","","M","L","INTERNATIONAL BROTHERHOOD OF BOILERMAKERS IRON SHIP BUILDERS BLACKSMITH FORGERS & HELPERS","","1583200173261107282","INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND","","Committee","C00005157","fec","C00005157"
"C00005173","STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA","FOX, PECK","PO BOX 950","","MONTGOMERY","AL","36101","U","Y","DEM","M","","DOLLARS FOR DEMOCRATS","","1583200173262322617","STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA","DEM","Committee","C00005173","fec","C00005173"
"C00005249","NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM","T. BROCK JOLLY","2901 TELESTAR CT.","","FALLS CHURCH","VA","22042","B","Q","UNK","M","M","","","1583200173262298899","NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM","UNK","Committee","C00005249","fec","C00005249"
"C00005462","10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE","CROFT, GEORGE","PO BOX 650552","","POTOMAC FALLS","VA","20165","U","Y","REP","M","","REPUBLICAN PARTY OF VIRGINIA INC","","1583200173262995698","10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE","REP","Committee","C00005462","fec","C00005462"
